,Unnamed: 0,id,text,source,user_id,truncated,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,retweeted_status_id,geo,place,contributors,retweet_count,reply_count,favorite_count,favorited,retweeted,possibly_sensitive,num_hashtags,num_urls,num_mentions,created_at,timestamp,crawled_at,updated,user_type
0,122744,494698115526451200,$349,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2352660283.0,,0,0,,0,,,,0,0,0,,,,0,0,0,Thu Jul 31 04:16:36 +0000 2014,2014-07-31 06:16:36,2014-11-13 02:16:52,2014-11-13 02:16:52,0
1,122745,494698043967406082,@Mitch_The3rd follow meeee...,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2352660283.0,,494695428248453120,62902486,Mitch_The3rd,0,,,,0,0,0,,,,0,0,1,Thu Jul 31 04:16:19 +0000 2014,2014-07-31 06:16:19,2014-11-13 02:16:52,2014-11-13 02:16:52,0
2,122746,494694862633967616,Oh I actually sorta kinda like this song...maybe perhaps,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2352660283.0,,0,0,,0,,,,0,0,0,,,,0,0,0,Thu Jul 31 04:03:40 +0000 2014,2014-07-31 06:03:40,2014-11-13 02:16:52,2014-11-13 02:16:52,0
3,122747,494694775291793408,"@REVERBPROM0 ""You can't turn back the clock. But you can wind it up again."" - Bonnie Prudden","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2352660283.0,,494694563986952192,1608714961,REVERBPROM0,0,,,,0,0,0,,,,0,0,1,Thu Jul 31 04:03:20 +0000 2014,2014-07-31 06:03:20,2014-11-13 02:16:52,2014-11-13 02:16:52,0
4,122748,491968184757399552,"@JazzMusicArch ""Abundance is not something we acquire. It is something we tune into."" -Wayne Dyer","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2352660283.0,,491965100962480128,226682585,JazzMusicArch,0,,,,0,0,0,,,,0,0,1,Wed Jul 23 15:28:50 +0000 2014,2014-07-23 17:28:50,2014-11-13 02:16:52,2014-11-13 02:16:52,0
5,122749,491968059888783360,12 May you be happy .. I wish you all the best in this life. HAPPY BIRTHDAY kidrauhl ? Always here for u babe!! #HappyBirthdayJustinBieber,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2352660283.0,,0,0,,0,,,,0,0,0,,,,1,0,0,Wed Jul 23 15:28:20 +0000 2014,2014-07-23 17:28:20,2014-11-13 02:16:52,2014-11-13 02:16:52,0
6,122750,491967943874326530,@GSM111Studios great!,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2352660283.0,,491967774252482561,2524912731,GSM111Studios,0,,,,0,0,0,,,,0,0,1,Wed Jul 23 15:27:52 +0000 2014,2014-07-23 17:27:52,2014-11-13 02:16:52,2014-11-13 02:16:52,0
7,122751,491452761943199744,Those pics were an hour apart! She couldn't wait an hour????,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2352660283.0,,0,0,,0,,,,0,0,0,,,,0,0,0,Tue Jul 22 05:20:43 +0000 2014,2014-07-22 07:20:43,2014-11-13 02:16:52,2014-11-13 02:16:52,0
8,122752,491452664006180864,@EmspectahDeck FoLlOw Me.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2352660283.0,,491445393540907008,173258433,EmspectahDeck,0,,,,0,0,0,,,,0,0,1,Tue Jul 22 05:20:20 +0000 2014,2014-07-22 07:20:20,2014-11-13 02:16:52,2014-11-13 02:16:52,0
9,122753,491452528735698944,The reward of a thing well done is to have done it,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2352660283.0,,0,0,,0,,,,0,0,0,,,,0,0,0,Tue Jul 22 05:19:48 +0000 2014,2014-07-22 07:19:48,2014-11-13 02:16:52,2014-11-13 02:16:52,0
10,122754,491452404290711552,"@mister_pec ""It is hard to fail, but it is worse never have tried to succeed."" - Theodore Roosevelt","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2352660283.0,,491452018326638592,451362063,mister_pec,0,,,,0,0,0,,,,0,0,1,Tue Jul 22 05:19:18 +0000 2014,2014-07-22 07:19:18,2014-11-13 02:16:52,2014-11-13 02:16:52,0
11,122755,488909113527521280,if he doesn't hurrrrrry up and come on,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2352660283.0,,0,0,,0,,,,0,0,0,,,,0,0,0,Tue Jul 15 04:53:10 +0000 2014,2014-07-15 06:53:10,2014-11-13 02:16:52,2014-11-13 02:16:52,0
