,user_id,name,screen_name,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,lang,time_zone,location,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_banner_url,profile_use_background_image,profile_background_image_url_https,profile_text_color,profile_image_url_https,profile_sidebar_border_color,profile_background_tile,profile_sidebar_fill_color,profile_background_image_url,profile_background_color,profile_link_color,utc_offset,is_translator,follow_request_sent,protected,verified,notifications,description,contributors_enabled,following,created_at,timestamp,crawled_at,updated,counts,user_type,ant,disgust,fear,joy,sadness,surprise,trust,emotion_sum,ratio_ant,ratio_disgust,ratio_fear,ratio_joy,ratio_sadness,ratio_surprise,ratio_trust,index,sentiment_negative,sentiment_neutral,sentiment_positive,sent_sum,ratio_neg,ratio_neu,ratio_pos,jaccard,numtops
0,64987143.0,Fake Taylor S,TaylorSFaklhh,1,62,1489,0,0,,en,,,,,,http://a2.twimg.com/profile_images/359639810/3_normal.jpeg,,,,,,,,,http://s.twimg.com/a/1287010001/images/themes/theme1/bg.png,,,,,,,,,,,,1250067973000L,2009-08-12 11:06:13,2010-11-07 11:10:52,2016-03-14 17:08:08,1,0,1,0,0,1,0,1,1,4,0.25,0.0,0.0,0.25,0.0,0.25,0.25,142,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1,72795613.0,Katherine,Katherine9e5b,1,98,411,0,0,http://wowurl.com/13qp,en,,,,,,http://a0.twimg.com/profile_images/406283036/zme__1129__normal.jpg,,,,,,,,,http://s.twimg.com/a/1288305442/images/themes/theme1/bg.png,,,,,,,,,,,,1252481862000L,2009-09-09 09:37:42,2010-11-07 11:10:52,2016-03-14 17:09:04,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,53780486.0,Mom3CuteBoys,Mom3CuteBo38991,1,39,285,0,0,,en,,,,,,http://a1.twimg.com/profile_images/298701313/30_normal.jpeg,,,,,,,,,http://s.twimg.com/a/1288305442/images/themes/theme1/bg.png,,,,,,,,,,,,1246747718000L,2009-07-05 00:48:38,2010-11-07 11:10:52,2016-03-14 17:07:17,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
3,64982724.0,Nancy,Nancy84pg,1,119,673,0,2,http://xurl.jp/180a,en,,,,,,http://a0.twimg.com/profile_images/358633404/zzzzzzzzzscenegirl-1045_normal.jpg,,,,,,,,,http://s.twimg.com/a/1288660386/images/themes/theme1/bg.png,,,,,,,,,,,,1250066360000L,2009-08-12 10:39:20,2010-11-07 11:10:52,2016-03-14 17:08:08,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4,69509049.0,Chelsea,Chelsea9j2k,1,189,606,0,0,http://wowurl.com/175,en,,,,,,http://s.twimg.com/a/1287010001/images/default_profile_1_normal.png,,,,,,,,,http://s.twimg.com/a/1287437169/images/themes/theme1/bg.png,,,,,,,,,,,,1251435453000L,2009-08-28 06:57:33,2010-11-07 11:10:52,2016-03-14 17:08:49,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
5,45497562.0,Amy,Amy71ju,1,157,712,0,1,http://xurl.jp/trr,en,,,,,,http://a3.twimg.com/profile_images/254201679/zscenegirl-1090_normal.jpg,,,,,,,,,http://s.twimg.com/a/1287010001/images/themes/theme1/bg.png,,,,,,,,,,,,1244434377000L,2009-06-08 06:12:57,2010-11-07 11:10:52,2016-03-14 17:06:52,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
6,69504535.0,Katherine,Katherine7q2w,1,177,583,0,1,http://wowurl.com/16r,en,,,,,,http://a1.twimg.com/profile_images/385973401/zzz3__1332__normal.jpg,,,,,,,,,http://s.twimg.com/a/1287010001/images/themes/theme1/bg.png,,,,,,,,,,,,1251433934000L,2009-08-28 06:32:14,2010-11-07 11:10:52,2016-03-14 17:08:48,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,69220675.0,Katherine,Katherine6v1r,1,175,589,0,1,http://xurl.jp/yc3a,en,,,,,,http://a1.twimg.com/profile_images/384258089/zzz3__1062__normal.jpg,,,,,,,,,http://s.twimg.com/a/1288374569/images/themes/theme1/bg.png,,,,,,,,,,,,1251354365000L,2009-08-27 08:26:05,2010-11-07 11:10:52,2016-03-14 17:08:44,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,46322170.0,Lily,Lily920iu,1,121,656,0,0,http://xurl.jp/hxr,en,,,,,,http://a0.twimg.com/profile_images/258361220/zscenegirl-1318_normal.jpg,,,,,,,,,http://s.twimg.com/a/1288305442/images/themes/theme1/bg.png,,,,,,,,,,,,1244697725000L,2009-06-11 07:22:05,2010-11-07 11:10:52,2016-03-14 17:06:54,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
9,68934868.0,Amy,Amy9v8j,1,215,633,0,0,http://xurl.jp/942a,en,,,,,,http://a3.twimg.com/profile_images/382658651/zzz3__575__normal.jpg,,,,,,,,,http://s.twimg.com/a/1288374569/images/themes/theme1/bg.png,,,,,,,,,,,,1251276528000L,2009-08-26 10:48:48,2010-11-07 11:10:52,2016-03-14 17:08:39,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
